	﻿
把	ba
打	da
手	shou
找	zhao
才	cai
接	jie
拿	na
拉	la
抱	bao
提	ti
掉	diao
指	zhi
报	bao
搞	gao
护	hu
持	chi
托	tuo
担	dan
拜	bai
抓	zhua
据	ju
探	tan
控	kong
拍	pai
投	tou
排	pai
换	huan
择	ze
承	cheng
挺	ting
撒	sa
按	an
推	tui
操	cao
拥	yong
扰	rao
挑	tiao
摩	mo
捕	bu
搬	ban
招	zhao
摄	she
技	ji
扔	reng
抢	qiang
播	bo
搭	da
抽	chou
掌	zhang
撞	zhuang
搜	sou
摆	bai
执	zhi
抗	kang
挂	gua
挥	hui
折	zhe
摇	yao
拒	ju
拖	tuo
拳	quan
握	wo
扮	ban
扯	che
授	shou
扫	sao
损	sun
摸	mo
插	cha
扎	zha
括	kuo
抛	pao
拼	pin
拾	shi
批	pi
掩	yan
撤	che
援	yuan
擦	ca
描	miao
挖	wa
摔	shuai
挡	dang
扣	kou
捐	juan
挣	zheng
抵	di
揭	jie
拨	bo
押	ya
擅	shan
拔	ba
扭	niu
抬	tai
撑	cheng
挤	ji
扬	yang
振	zhen
揍	zou
捉	zhuo
拆	chai
抚	fu
搅	jiao
措	cuo
撕	si
拘	ju
拦	lan
抑	yi
摧	cui
挨	ai
扑	pu
搏	bo
挽	wan
捡	jian
披	pi
拐	guai
挪	nuo
抹	mo
扩	kuo
掘	jue
捷	jie
扶	fu
抖	dou
擎	qing
摘	zhai
捣	dao
摊	tan
携	xie
拟	ni
捏	nie
掏	tao
撼	han
拽	ye
捞	lao
抄	chao
挫	cuo
撇	pie
掐	qia
搁	ge
挚	zhi
捆	kun
拌	ban
挠	nao
掠	lve
攀	pan
捧	peng
掷	zhi
扒	ba
拙	zhuo
掀	xian
拧	ning
拣	jian
拓	tuo
拢	long
搂	lou
捍	han
扛	kang
掰	bai
揉	rou
捎	shao
攒	zan
搓	cuo
抒	shu
搀	chan
拄	zhu
挎	ku
